n,n_machine,n_human,tpr_at_1pct_fpr,tpr_at_5pct_fpr,mcc,balanced_accuracy,auroc,fpr,fpr_ci_low,fpr_ci_high,fpr_hard_human,split,held_out_channel,held_out_human_sources,estimand,C,inner_auc,inner_folds_total,inner_folds_used,n_train,n_test,n_features,auroc_spread_between_channels
133,90,43,0.8888888888888888,0.9666666666666667,0.8297459537856992,0.9328165374677002,0.9950904392764858,0.023255813953488372,0.0,0.07692307692307693,,outer_fold_0,gpt,buriy_2014;taiga_magazines;drmax;texterra_ru;Федеральное государственное автономное образовательное учреждение высшего образования «Южный федеральный университет»;drmax_su;Федеральное государственное автономное образовательное учреждение высшего образования «Белгородский государственный национальный исследовательский университет»;Институт проблем освоения Севера Сибирского отделения Российской академии наук;Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования «Томский государственный педагогический университет»;Харьковский национальный автомобильно-дорожный университет;rusltc:source-140;rusltc:source-164;rusltc:source-17;rusltc:source-18;rusltc:source-186;rusltc:source-204;rusltc:source-209;rusltc:source-213;rusltc:source-273;rusltc:source-288;rusltc:source-306;rusltc:source-314;rusltc:source-328;rusltc:source-367;rusltc:source-415;rusltc:source-49;rusltc:source-69;rusltc:source-89;Федеральное государственное автономное образовательное учреждение высшего образования «Российский университет дружбы народов»;Федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургская академия художеств имени Ильи Репина»;Частное образовательное учреждение высшего образования «Самарская гуманитарная академия»,full,1.0,0.9965,3,3,458,133,22,
150,90,60,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,outer_fold_1,real_claude,"gazeta;taiga_proza;alaev;sosnovskij;madcats_ru;author_archive;Государственное образовательное учреждение высшего профессионального образования «Национальный исследовательский Томский политехнический университет»;shakin_ru;Редакция международного научного журнала «Мир науки, культуры, образования»;Федеральное государственное унитарное предприятие «Тихоокеанский научно-исследовательский рыбохозяйственный центр»;rusltc:source-10;rusltc:source-15;rusltc:source-165;rusltc:source-174;rusltc:source-180;rusltc:source-187;rusltc:source-205;rusltc:source-21;rusltc:source-243;rusltc:source-278;rusltc:source-293;rusltc:source-31;rusltc:source-315;rusltc:source-34;rusltc:source-37;rusltc:source-45;rusltc:source-5;rusltc:source-7;rusltc:source-92;Федеральное государственное бюджетное научное учреждение «Томский научно-исследовательский институт онкологии»;Федеральное государственное бюджетное образовательное учреждение высшего образования «Саратовский национальный исследовательский государственный университет имени Н. Г. Чернышевского»",full,10.0,0.9786,3,3,441,150,22,
142,90,52,0.9444444444444444,0.9555555555555556,0.8626942212374711,0.9256410256410257,0.9912393162393163,0.11538461538461539,0.0,0.16666666666666666,,outer_fold_2,deepseek_pro,"lenta;spbgu;madcats;sosnovskij_ru;Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский государственный педагогический университет им. А. И. Герцена»;seopulses_ru;Федеральное государственное бюджетное образовательное учреждение высшего образования «Национальный государственный университет физической культуры, спорта и здоровья им. П.Ф. Лесгафта, Санкт-Петербург»;Университет «Синергия»;Филиал Открытого акционерного общество «Татмедиа» «Редакция «Казанского медицинского журнала»;rusltc:source-101;rusltc:source-16;rusltc:source-167;rusltc:source-178;rusltc:source-182;rusltc:source-19;rusltc:source-207;rusltc:source-210;rusltc:source-247;rusltc:source-283;rusltc:source-295;rusltc:source-312;rusltc:source-316;rusltc:source-35;rusltc:source-38;rusltc:source-46;rusltc:source-65;rusltc:source-8;Институт энергетики Академии наук Молдовы;Федеральное государственное бюджетное образовательное учреждение высшего образования «Байкальский государственный университет»;Федеральное государственное бюджетное образовательное учреждение высшего образования «Томский государственный университет систем управления и радиоэлектроники»",full,0.1,0.9967,3,3,449,142,22,
166,90,76,0.9222222222222223,1.0,0.9401325260521332,0.9711988304093567,0.9986842105263157,0.013157894736842105,0.0,0.07317073170731707,,outer_fold_3,nemotron,taiga_arzamas;urfu;devaka_ru;shakin;seopulses;optimizatorsha_ru;labrika;seoprofy_ua;ООО «ГРУППА РЕМЕДИУМ»;Федеральное государственное бюджетное учреждение «Новосибирский научно-исследовательский институт травматологии и ортопедии им. Я. Л. Цивьяна» Минздрава России;convertmonster;rusltc:source-134;rusltc:source-162;rusltc:source-168;rusltc:source-179;rusltc:source-185;rusltc:source-2;rusltc:source-208;rusltc:source-211;rusltc:source-248;rusltc:source-286;rusltc:source-298;rusltc:source-313;rusltc:source-317;rusltc:source-36;rusltc:source-400;rusltc:source-47;rusltc:source-68;rusltc:source-88;Общество с ограниченной ответственностью «Центр интеллектуальных услуг «Энциклопедия»;Федеральное государственное бюджетное образовательное учреждение высшего образования «Брянский государственный аграрный университет»;Федеральное государственное бюджетное учреждение науки «Институт проблем управления им. В. А. Трапезникова РАН»,full,0.1,0.9955,3,3,425,166,22,
591,360,231,0.9305555555555556,0.9805555555555555,0.9122412076686425,0.9590728715728716,0.996007696007696,0.03463203463203463,0.004464285714285714,0.07482993197278912,,pooled_out_of_fold,все четыре,,full,,,,,,591,,0.00876068376068373
133,90,43,0.7333333333333333,0.8666666666666667,0.7638616482015212,0.8984496124031007,0.9842377260981912,0.06976744186046512,0.0,0.23076923076923078,,outer_fold_0,gpt,buriy_2014;taiga_magazines;drmax;texterra_ru;Федеральное государственное автономное образовательное учреждение высшего образования «Южный федеральный университет»;drmax_su;Федеральное государственное автономное образовательное учреждение высшего образования «Белгородский государственный национальный исследовательский университет»;Институт проблем освоения Севера Сибирского отделения Российской академии наук;Федеральное государственное бюджетное образовательное учреждение высшего профессионального образования «Томский государственный педагогический университет»;Харьковский национальный автомобильно-дорожный университет;rusltc:source-140;rusltc:source-164;rusltc:source-17;rusltc:source-18;rusltc:source-186;rusltc:source-204;rusltc:source-209;rusltc:source-213;rusltc:source-273;rusltc:source-288;rusltc:source-306;rusltc:source-314;rusltc:source-328;rusltc:source-367;rusltc:source-415;rusltc:source-49;rusltc:source-69;rusltc:source-89;Федеральное государственное автономное образовательное учреждение высшего образования «Российский университет дружбы народов»;Федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургская академия художеств имени Ильи Репина»;Частное образовательное учреждение высшего образования «Самарская гуманитарная академия»,net,0.01,0.9673,3,3,458,133,18,
150,90,60,0.7222222222222222,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.9855555555555555,0.06666666666666667,0.0,0.18461538461538463,,outer_fold_1,real_claude,"gazeta;taiga_proza;alaev;sosnovskij;madcats_ru;author_archive;Государственное образовательное учреждение высшего профессионального образования «Национальный исследовательский Томский политехнический университет»;shakin_ru;Редакция международного научного журнала «Мир науки, культуры, образования»;Федеральное государственное унитарное предприятие «Тихоокеанский научно-исследовательский рыбохозяйственный центр»;rusltc:source-10;rusltc:source-15;rusltc:source-165;rusltc:source-174;rusltc:source-180;rusltc:source-187;rusltc:source-205;rusltc:source-21;rusltc:source-243;rusltc:source-278;rusltc:source-293;rusltc:source-31;rusltc:source-315;rusltc:source-34;rusltc:source-37;rusltc:source-45;rusltc:source-5;rusltc:source-7;rusltc:source-92;Федеральное государственное бюджетное научное учреждение «Томский научно-исследовательский институт онкологии»;Федеральное государственное бюджетное образовательное учреждение высшего образования «Саратовский национальный исследовательский государственный университет имени Н. Г. Чернышевского»",net,0.01,0.9278,3,3,441,150,18,
142,90,52,0.6555555555555556,0.7888888888888889,0.8382061141021359,0.8942307692307692,0.9713675213675214,0.21153846153846154,0.0,0.26666666666666666,,outer_fold_2,deepseek_pro,"lenta;spbgu;madcats;sosnovskij_ru;Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский государственный педагогический университет им. А. И. Герцена»;seopulses_ru;Федеральное государственное бюджетное образовательное учреждение высшего образования «Национальный государственный университет физической культуры, спорта и здоровья им. П.Ф. Лесгафта, Санкт-Петербург»;Университет «Синергия»;Филиал Открытого акционерного общество «Татмедиа» «Редакция «Казанского медицинского журнала»;rusltc:source-101;rusltc:source-16;rusltc:source-167;rusltc:source-178;rusltc:source-182;rusltc:source-19;rusltc:source-207;rusltc:source-210;rusltc:source-247;rusltc:source-283;rusltc:source-295;rusltc:source-312;rusltc:source-316;rusltc:source-35;rusltc:source-38;rusltc:source-46;rusltc:source-65;rusltc:source-8;Институт энергетики Академии наук Молдовы;Федеральное государственное бюджетное образовательное учреждение высшего образования «Байкальский государственный университет»;Федеральное государственное бюджетное образовательное учреждение высшего образования «Томский государственный университет систем управления и радиоэлектроники»",net,0.1,0.9681,3,3,449,142,18,
166,90,76,0.24444444444444444,0.7555555555555555,0.5945637967353712,0.7767543859649122,0.9546783625730995,0.013157894736842105,0.0,0.07317073170731707,,outer_fold_3,nemotron,taiga_arzamas;urfu;devaka_ru;shakin;seopulses;optimizatorsha_ru;labrika;seoprofy_ua;ООО «ГРУППА РЕМЕДИУМ»;Федеральное государственное бюджетное учреждение «Новосибирский научно-исследовательский институт травматологии и ортопедии им. Я. Л. Цивьяна» Минздрава России;convertmonster;rusltc:source-134;rusltc:source-162;rusltc:source-168;rusltc:source-179;rusltc:source-185;rusltc:source-2;rusltc:source-208;rusltc:source-211;rusltc:source-248;rusltc:source-286;rusltc:source-298;rusltc:source-313;rusltc:source-317;rusltc:source-36;rusltc:source-400;rusltc:source-47;rusltc:source-68;rusltc:source-88;Общество с ограниченной ответственностью «Центр интеллектуальных услуг «Энциклопедия»;Федеральное государственное бюджетное образовательное учреждение высшего образования «Брянский государственный аграрный университет»;Федеральное государственное бюджетное учреждение науки «Институт проблем управления им. В. А. Трапезникова РАН»,net,0.01,0.9842,3,3,425,166,18,
591,360,231,0.225,0.7666666666666667,0.75002226404019,0.88248556998557,0.9480759980759981,0.08225108225108226,0.023076923076923078,0.15053763440860216,,pooled_out_of_fold,все четыре,,net,,,,,,591,,0.03087719298245606
